1995,Nguyễn,Thế,Trung,7,7,7,7,7,0,35,36,91.48%,Silver,medal
1995,Cao,Văn,Hạnh,7,7,5,7,7,0,33,61,85.40%,Silver,medal
1994,Hài,Long,Đào,7,7,7,6,7,7,41,23,94.27%,Gold,medal
1994,Chu,Gia,Vượng,Nguyễn,0,7,6,6,5,7,31,78,79.95%,Silver,medal
1994,Duy,Lan,Nguyễn,7,7,7,6,7,0,34,58,85.16%,Silver,medal
1994,Quy,Tuấn,Nguyễn,6,7,6,7,7,0,33,67,82.81%,Silver,medal
1994,Dong,Vu,To,7,7,1,7,6,2,30,88,77.34%,Silver,medal
1994,Ngọc,Nam,Trần,4,7,7,7,6,7,38,34,91.41%,Silver,medal
1993,Bùi,Anh,Văn,7,7,0,5,5,0,24,59,85.92%,Silver,medal
1993,Truong,Ba,Tu,7,7,0,5,4,0,23,66,84.22%,Silver,medal
1993,Phạm,Chung,Thủy,6,7,0,1,1,2,17,122,70.63%,Bronze,medal
1993,Phạm,Hong,Kien,0,7,0,7,7,2,23,66,84.22%,Silver,medal
1993,To,Huy,Quynh,7,7,0,4,1,2,21,83,80.10%,Silver,medal
1993,Chu,Gia,Vượng,Nguyễn,7,7,4,7,3,2,30,28,93.45%,Gold,medal
1992,Nguyễn,Hữu,Cuong,7,7,2,0,0,2,18,115,64.49%,Bronze,medal
1992,Nguyễn,Quốc,Khánh,5,7,2,7,0,5,26,57,82.55%,Silver,medal
1992,Nguyễn,Thành,Cong,7,7,1,7,1,2,25,65,80.06%,Silver,medal
1992,Nguyễn,Thuy,Linh,5,1,0,7,1,2,16,125,61.37%,Bronze,medal
1992,Nguyễn,Xuân,Dao,7,7,1,7,7,4,33,17,95.02%,Gold,medal
1992,Nguyễn,Xuân,Long,7,5,0,7,0,2,21,93,71.34%,Bronze,medal
1991,Nguyễn,Việt,Anh,7,7,3,7,7,7,38,21,93.69%,Silver,medal
1991,Nguyễn,Hải,Hà,7,7,3,3,7,0,27,90,71.92%,Bronze,medal
1991,Ngô,Diên,Hy,7,7,0,0,7,0,21,133,58.36%,Bronze,medal
1991,Đỗ,Ngọc,Minh,7,7,3,7,7,7,38,21,93.69%,Silver,medal
1991,Hà,Huy,Tài,7,7,3,7,7,5,36,39,88.01%,Silver,medal
1991,Phan,Huy,Tu,7,7,3,7,7,0,31,67,79.18%,Silver,medal
1990,Ha,Duong,Phan,Thị,6,3,0,2,7,1,19,106,65.80%,Bronze,medal
1990,Hoang,Huy,Vũ,6,4,0,3,2,0,15,156,49.51%
1990,Trường,Lan,Lê,7,3,3,2,1,0,16,139,55.05%,Bronze,medal
1990,Xuân,Du,Phạm,7,6,3,1,6,1,24,63,79.80%,Silver,medal
1990,Hà,Huy,Tài,3,1,1,3,2,1,11,216,29.97%
1990,Xuân,Ha,Vũ,0,3,1,7,1,7,19,106,65.80%,Bronze,medal
