drzava,leto,ime,N1,N2,N3,N4,N5,N6,empty,skupaj,absolutno_mesto,relativno_mesto,nagrada,spol
ALG,1997,Nora Amrani,0,0,0,0,0,0,,0,446,3.05,,
ALG,1997,Nassima Bouzid,0,0,0,0,0,0,,0,446,3.05,,
ALG,1997,Aziz Ghadjeti,1,0,0,0,0,0,,1,419,8.93,,
ALG,1997,Adel Merdaci,1,0,0,0,1,0,,2,408,11.33,,
ALG,1993,Bachir Allel,0,0,0,0,0,0,,0,406,1.7,,
ALG,1993,Abderahmane Djilali Sayah,0,0,0,3,1,0,,4,311,24.76,,
ALG,1993,Abdelouahab Kaouas,0,0,0,0,1,0,,1,390,5.58,,
ALG,1993,Said Ladjel,1,1,0,0,2,0,,4,311,24.76,,
ALG,1993,Hakim Settache,0,0,0,0,0,0,,0,406,1.7,,
ALG,1991,El-Oualid Amara Med,2,0,0,1,0,0,,3,279,12.3,,moški
ALG,1991,El-Machkouria Bouabed,0,0,0,0,0,0,,0,305,4.1,,ženska
ALG,1991,Touffik Hadji,0,2,3,0,0,0,,5,259,18.61,,moški
ALG,1991,Cherif Ahmed Ketfi,0,1,0,0,1,0,,2,289,9.15,,moški
ALG,1991,Nazim Mahrour,0,0,0,7,2,0,,9,226,29.02,Honourable mention,moški
ALG,1991,Riadh Souissi,1,0,0,0,0,0,,1,297,6.62,,moški
ALG,1990,Samir Aitarane,3,3,3,2,3,0,,14,171,44.63,,
ALG,1990,Djilali Behloul,0,1,1,2,1,0,,5,280,9.12,,
ALG,1990,Sabri Liabes,0,0,1,3,1,1,,6,276,10.42,,
ALG,1990,Amdjad Zabian,0,1,1,1,1,0,,4,295,4.23,,
ALG,1988,Abdelmalek Abdesselam,7,7,0,7,2,0,,23,60,77.9,Silver medal,moški
ALG,1988,Chouik Ahmed,0,0,1,0,2,0,,3,233,13.11,,moški
ALG,1988,Talbi Malik,7,0,1,0,1,0,,9,174,35.21,Honourable mention,moški
ALG,1988,Taslent Mustapha,1,0,0,0,4,0,,5,214,20.22,,moški
ALG,1988,Bourada Narimane,0,0,1,0,0,1,,2,243,9.36,,ženska
ALG,1987,Toufik Abdelmouene,1,2,0,2,1,0,,6,191,19.49,,
ALG,1987,Abdelmalek Abdesselam,0,4,0,7,0,1,,12,146,38.56,,
ALG,1987,Mina Abdiche,0,1,0,5,0,0,,6,191,19.49,,
ALG,1987,Najy Benhassine,1,3,0,0,1,0,,5,196,17.37,,
ALG,1987,Ali Harkati,0,0,0,0,0,0,,0,226,4.66,,
ALG,1987,Dida Mohamed Reda,0,0,0,0,0,0,,0,226,4.66,,
ALG,1986,?,0,2,0,5,0,0,,7,177,15.79,,
ALG,1986,?,2,7,1,2,3,0,,15,110,47.85,,
ALG,1986,Abdenour Achab,4,3,0,0,3,0,,10,151,28.23,,
ALG,1986,Mourad Benakli,1,6,1,5,6,0,,19,87,58.85,Bronze medal,
ALG,1986,Halim Haddadi,0,7,0,1,1,0,,9,162,22.97,,
ALG,1986,Nour Maddahi,7,7,1,2,3,0,,20,80,62.2,Bronze medal,
ALG,1985,Karim Benakli,1,2,0,4,0,1,,8,147,29.81,,
ALG,1985,Sidi Mohammed Berrezkellah,0,0,0,2,0,1,,3,181,13.46,,
ALG,1985,Fateh Khiar,1,1,0,0,2,1,,5,164,21.63,,
ALG,1985,Abdelmalik Leblalta,2,0,0,0,1,1,,4,170,18.75,,
ALG,1985,Mohammed-Salim Lemdani,2,7,0,0,0,1,,10,129,38.46,,
ALG,1985,Omar Sharaoui,1,1,0,0,3,1,,6,160,23.56,,
ALG,1984,R. Bouckkeine,3,1,0,4,0,0,,8,144,25.13,,
ALG,1984,A. Kihel,0,0,0,3,0,0,,3,166,13.61,,
ALG,1984,K. Makhloufi,2,4,0,7,1,0,,14,110,42.93,,
ALG,1984,M. Ziane,2,3,0,6,0,0,,11,123,36.13,,
ALG,1983,Nadia Benblidia,,,,,,,,1,168,9.73,,ženska
ALG,1983,Mourad Bourouis,,,,,,,,1,168,9.73,,moški
ALG,1983,Abdellah Mokrane,,,,,,,,2,158,15.14,,moški
ALG,1983,Rabah Souam,,,,,,,,0,179,3.78,,moški
ALG,1983,Abdelhamid Touimer,,,,,,,,2,158,15.14,,moški
ALG,1983,Abdelkader Yous,,,,,,,,0,179,3.78,,moški
ALG,1982,Amrane Ait,1,0,0,0,6,3,,10,96,19.49,,
ALG,1982,? Tahi,1,0,0,1,0,0,,2,111,6.78,,
ALG,1982,Karim Zerhouni,3,0,2,3,0,3,,11,91,23.73,,
ALG,1977,Abdesselam Klouche,,,,,,,,2,148,4.55,,
ALG,1977,Abdallah Laradji,,,,,,,,14,88,43.51,,
ALG,1977,Naima Nagui,,,,,,,,1,152,1.95,,
AGO,2019,Cristóvão Venâncio Guiho,0,0,0,0,0,0,,0,573,7.74,,moški
AGO,2019,Luciano Chila António Tito,0,0,0,0,0,0,,0,573,7.74,,moški
ARG,2021,Julián Máximo Cabrera,7,0,0,7,7,0,,21,105,83.17,Silver medal,moški
ARG,2021,Federico Mierez,7,0,0,0,0,1,,8,348,43.85,Honourable mention,moški
ARG,2021,Nicolás Ricci,0,0,0,0,0,0,,0,533,13.92,,moški
ARG,2021,Lorenzo Ruiz Diaz,6,0,0,1,0,0,,7,372,39.97,,moški
ARG,2021,Lucas Sandleris,7,0,0,2,0,0,,9,332,46.44,Honourable mention,moški
ARG,2021,Bruno Martín Ziger,7,0,0,7,7,0,,21,105,83.17,Silver medal,moški
ARG,2020,Lisandro Acuña,7,0,0,1,0,0,,8,419,32.03,Honourable mention,moški
ARG,2020,Julián Máximo Cabrera,7,0,0,7,5,0,,19,236,61.79,Bronze medal,moški
